Project Name,Package Name,Type Name,Code Smell
java,org.apache.roller.weblogger.business.pings,WeblogUpdatePinger,Deficient Encapsulation
java,org.apache.roller.weblogger.business.plugins.comment,AutoformatPlugin,Unutilized Abstraction
java,org.apache.roller.weblogger.business.plugins.comment,HTMLSubsetPlugin,Unutilized Abstraction
java,org.apache.roller.weblogger.business.plugins.comment,LinkMarkupPlugin,Unutilized Abstraction
java,org.apache.roller.weblogger.business.plugins.comment,WeblogEntryCommentPlugin,Unutilized Abstraction
java,org.apache.roller.weblogger.business.plugins.entry,ObfuscateEmailPlugin,Unutilized Abstraction
java,org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,Deficient Encapsulation
java,org.apache.roller.weblogger.business.plugins.entry,WeblogEntryPlugin,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.plugins,PluginManager,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.runnable,ContinuousWorkerThread,Unutilized Abstraction
java,org.apache.roller.weblogger.business.runnable,HitCountProcessingJob,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.runnable,ResetHitCountsTask,Deficient Encapsulation
java,org.apache.roller.weblogger.business.runnable,RollerTaskWithLeasing,Broken Hierarchy
java,org.apache.roller.weblogger.business.runnable,ScheduledEntriesTask,Deficient Encapsulation
java,org.apache.roller.weblogger.business.runnable,TaskRunner,Unutilized Abstraction
java,org.apache.roller.weblogger.business.runnable,ThreadManagerImpl,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Deficient Encapsulation
java,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Broken Modularization
java,org.apache.roller.weblogger.business.search.lucene,IndexOperation,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.search.lucene,IndexUtil,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.search.lucene,ReadFromIndexOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Broken Hierarchy
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.business.search.lucene,WriteToIndexOperation,Unutilized Abstraction
java,org.apache.roller.weblogger.business.startup,StartupException,Unutilized Abstraction
java,org.apache.roller.weblogger.business.startup,StartupException,Broken Hierarchy
java,org.apache.roller.weblogger.business.themes,SharedThemeFromDir,Unutilized Abstraction
java,org.apache.roller.weblogger.business.themes,SharedThemeTemplate,Insufficient Modularization
java,org.apache.roller.weblogger.business.themes,ThemeInitializationException,Unutilized Abstraction
java,org.apache.roller.weblogger.business.themes,ThemeInitializationException,Broken Hierarchy
java,org.apache.roller.weblogger.business.themes,ThemeMetadata,Insufficient Modularization
java,org.apache.roller.weblogger.business.themes,ThemeNotFoundException,Unutilized Abstraction
java,org.apache.roller.weblogger.business.themes,ThemeNotFoundException,Broken Hierarchy
java,org.apache.roller.weblogger.business.themes,ThemeParsingException,Unutilized Abstraction
java,org.apache.roller.weblogger.business.themes,ThemeParsingException,Broken Hierarchy
java,org.apache.roller.weblogger.business.themes,WeblogCustomTheme,Unutilized Abstraction
java,org.apache.roller.weblogger.business.themes,WeblogCustomTheme,Deficient Encapsulation
java,org.apache.roller.weblogger.business.themes,WeblogSharedTheme,Unutilized Abstraction
java,org.apache.roller.weblogger.business.url,AuthURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.business.url,FeedURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.business.url,MediaURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.business.url,WeblogURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.business,PlanetURLStrategy,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.business,PlanetURLStrategy,Cyclic Hierarchy
java,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcher,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.tasks,RefreshRollerPlanetTask,Deficient Encapsulation
java,org.apache.roller.weblogger.planet.tasks,SyncWebsitesTask,Deficient Encapsulation
java,org.apache.roller.weblogger.planet.ui,PlanetConfig,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.ui,PlanetConfig,Broken Hierarchy
java,org.apache.roller.weblogger.planet.ui,PlanetConfig,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.planet.ui,PlanetGroups,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.ui,PlanetGroups,Broken Hierarchy
java,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Broken Hierarchy
java,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Unutilized Abstraction
java,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Deficient Encapsulation
java,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Broken Hierarchy
java,org.apache.roller.weblogger.pojos,AutoPing,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,CommentSearchCriteria,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,ContentTemplate,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,CustomTemplateRendition,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,GlobalPermission,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,GlobalPermission,Unexploited Encapsulation
java,org.apache.roller.weblogger.pojos,GlobalPermission,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,MediaFile,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,MediaFile,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,MediaFileComparator,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,MediaFileDirectoryComparator,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,OAuthAccessorRecord,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,PingQueueEntry,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,PingTarget,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,RuntimeConfigProperty,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,StaticTemplate,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,TagStatComparator,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,ThemeTemplate,Broken Hierarchy
java,org.apache.roller.weblogger.pojos,User,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,User,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,UserRole,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,Weblog,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,Weblog,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,Weblog,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogBookmark,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogBookmark,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogBookmark,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogCategory,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogCategory,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogCategory,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogConfig,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,Builder,Multifaceted Abstraction
java,org.apache.roller.weblogger.pojos,WeblogEntry,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogEntry,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntry,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntry,Hub-like Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntryAttribute,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntryComment,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogEntryComment,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntryComment,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntryTag,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogEntryTagAggregate,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogEntryTagComparator,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,WeblogEntryWrapperComparator,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,WeblogHitCount,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogPermission,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogPermission,Broken Hierarchy
java,org.apache.roller.weblogger.pojos,WeblogPermission,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogTemplate,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos,WeblogTemplate,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogTemplate,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos,WeblogTemplate,Insufficient Modularization
java,org.apache.roller.weblogger.pojos,WeblogTheme,Deficient Encapsulation
java,org.apache.roller.weblogger.pojos,WeblogTheme,Broken Hierarchy
java,org.apache.roller.weblogger.pojos.wrapper,WeblogBookmarkWrapper,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos.wrapper,WeblogCategoryWrapper,Cyclic-Dependent Modularization
java,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryAttributeWrapper,Unutilized Abstraction
java,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryCommentWrapper,Cyclic-Dependent Modularization
